cloudflare.com,UN,61794
akam.net,UN,17592
googledomains.com,US,7042
nsone.net,US,5141
domaincontrol.com,US,4566
dnsmadeeasy.com,US,3472
nic.ru,RU,2920
cloudns.net,US,1857
alidns.com,CN,1794
azure-dns.org,US,1543
azure-dns.com,US,1542
azure-dns.info,US,1541
azure-dns.net,US,1541
google.com,US,1540
registrar-servers.com,US,1336
ultradns.net,US,1254
gandi.net,FR,1049
cscdns.net,US,1048
ultradns.org,US,1035
digitalocean.com,UN,923
selectel.ru,RU,879
oraclecloud.net,US,814
markmonitor.com,AT,725
name.com,DE,718
ultradns.com,US,693
linode.com,NL,691
ultradns.biz,US,664
dnsimple.com,UN,654
constellix.net,US,653
constellix.com,US,653
hichina.com,CN,642
dnsv5.com,CN,625
worldnic.com,UN,584
ovh.net,FR,539
gannett-dns.com,US,536
dnsv.jp,JP,511
dnsv4.com,CN,509
reg.ru,RU,433
dnspod.net,CN,408
arvancdn.ir,IR,402
ns14.net,DE,396
netnames.net,US,384
eurodns.com,US,350
dns-parking.com,UN,348
yandex.net,RU,344
cscdns.uk,US,302
he.net,US,295
digicertdns.com,US,294
digicertdns.net,US,266
perf1.com,FR,252
ultradns.info,US,251
yahoo.com,HK,250
no-ip.com,US,248
markmonitor.zone,CA,242
wordpress.com,US,241
gcd-dns.com,US,236
ultradns.co.uk,US,235
csof.net,US,228
name-services.com,CA,215
icsn.com,US,208
facebook.com,US,196
dreamhost.com,UN,195
dnsv2.com,CN,190
srv53.org,FR,182
srv53.net,FR,182
xserver.jp,JP,181
att.net,US,181
srv53.com,FR,180
dfn.de,DE,180
360safe.com,CN,176
anycast.me,FR,174
beget.pro,RU,172
beget.com,RU,172
porkbun.com,UN,168
apple.com,US,168
d-53.info,JP,163
d-53.jp,JP,163
topdns.com,NL,161
salesforce.com,US,158
rackspace.com,US,154
dynect.net,US,153
ui-dns.de,DE,153
ui-dns.com,DE,152
alibabadns.com,CN,152
ui-dns.biz,DE,152
easydns.com,CA,151
ui-dns.org,DE,151
inwx.de,AT,150
bunny.net,SI,150
automattic.com,US,146
impervasecuredns.net,US,146
perf1.fr,FR,145
hearstnp.com,US,144
ja.net,GB,143
d-zone.ca,CA,142
dns.fox,US,140
stabletransit.com,US,140
itsfogo.com,US,138
hetzner.com,DE,137
ezoicns.com,US,136
foxdoua.com,US,136
d-53.net,JP,136
dnsmadeeasy.org,US,134
orderbox-dns.com,US,134
edrive-hosting.cz,CZ,134
foundationdns.com,UN,129
foundationdns.net,UN,129
foundationdns.org,UN,129
ddos-guard.net,RU,128
amzndns.com,US,128
amzndns.net,US,128
kr123.com,US,128
amzndns.co.uk,US,128
amzndns.org,US,128
easydns.net,CA,127
